date,series_code,series_name,value,source
2022-06-21,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-22,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-23,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-24,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-27,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-28,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-29,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-30,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-01,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-04,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-05,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-06,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-07,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-08,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-11,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-12,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-13,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-07-14,V39079,Target overnight rate,2.5,Bank of Canada Valet API
2022-07-15,V39079,Target overnight rate,2.5,Bank of Canada Valet API
